ROI,Area,Mean,Min,Max,MinThr,MaxThr
0010-0020-0765,348.951,1.136,0,594,0,65535
0010-0021-0926,297.16,0,0,0,0,65535
0010-0022-0987,590.287,0,0,0,0,65535
0011-0001-0197,173.839,2656.074,0,13748,0,65535
0011-0002-0337,238.577,7280.818,0,21565,0,65535
0011-0003-0411,188.484,4897.462,0,18672,0,65535
0011-0004-0428,542.105,41.575,0,3796,0,65535
0011-0005-0418,201.432,9644.427,0,34616,0,65535
0011-0006-0478,225.629,695.376,0,6310,0,65535
0011-0007-0499,250.463,948.625,0,6103,0,65535
0011-0008-0528,147.731,1043.776,0,5897,0,65535
0011-0009-0531,281.665,3119.013,0,44258,0,65535
0011-0010-0573,370.177,406.451,0,5690,0,65535
0011-0011-0588,168.532,9.338,0,1317,0,65535
0011-0012-0605,264.897,295.15,0,10408,0,65535
0011-0013-0617,222.021,253.262,0,3658,0,65535
0011-0014-0685,377.606,114.619,0,4795,0,65535
0011-0015-0805,226.478,4349.054,0,21737,0,65535
0011-0016-0813,132.873,5010.738,0,14299,0,65535
0011-0017-0825,326.239,4709.338,0,19361,0,65535
0011-0018-0849,180.631,5495.375,0,12956,0,65535
0011-0019-0886,134.996,0,0,0,0,65535
0011-0020-0923,460.386,1276.568,0,10890,0,65535
0011-0021-0965,563.755,705.752,0,7240,0,65535
0011-0022-0971,241.124,1582.893,0,7825,0,65535
0011-0023-0999,185.725,1284.631,0,8066,0,65535
0012-0001-0023,342.583,0,0,0,0,65535
0012-0002-0021,345.555,0.111,0,180,0,65535
0012-0003-0141,476.305,0.049,0,111,0,65535
0012-0004-0236,384.186,0,0,0,0,65535
0012-0005-0291,259.803,0,0,0,0,65535
0012-0006-0283,121.836,218.408,0,5724,0,65535
0012-0007-0364,322.419,0,0,0,0,65535
0012-0008-0384,279.118,0.006,0,8,0,65535
0012-0009-0445,521.94,0,0,0,0,65535
0012-0010-0468,350.012,0,0,0,0,65535
0012-0011-0484,324.966,95.875,0,3727,0,65535
0012-0012-0502,289.731,18.69,0,1592,0,65535
0012-0013-0615,228.813,4.534,0,2729,0,65535
0012-0014-0651,390.341,0,0,0,0,65535
0012-0015-0780,328.786,0,0,0,0,65535
0012-0016-0790,415.6,0,0,0,0,65535
0012-0017-0804,160.254,0,0,0,0,65535
0012-0018-0816,125.232,0,0,0,0,65535
0012-0019-0823,120.987,0,0,0,0,65535
0012-0020-0992,599.414,2.382,0,2246,0,65535
0013-0001-0182,318.174,2919.889,0,19533,0,65535
0013-0002-0307,392.464,13555.495,0,31620,0,65535
0013-0003-0322,222.87,3629.1,0,24217,0,65535
0013-0004-0347,194.003,3929.742,0,27419,0,65535
0013-0005-0351,275.085,15625.569,0,37268,0,65535
0013-0006-0381,115.043,6870.823,0,26558,0,65535
0013-0007-0466,156.858,3867.727,0,26352,0,65535
0013-0008-0479,257.892,6698.749,0,27454,0,65535
0013-0009-0498,119.289,835.737,0,16503,0,65535
0013-0010-0571,321.357,5003.409,0,36235,0,65535
0013-0011-0578,371.662,201.035,0,16572,0,65535
0013-0012-0647,446.377,4430.92,0,20773,0,65535
0013-0013-0764,153.037,1653.682,0,16847,0,65535
0013-0014-0803,190.607,241.684,0,11338,0,65535
0013-0015-0822,340.248,5234.311,0,20773,0,65535
0013-0016-0870,249.614,1445.654,0,10855,0,65535
0013-0017-0936,143.274,2508.261,0,34513,0,65535
0013-0018-1008,118.44,535.237,0,7860,0,65535
0013-0019-1026,129.689,817.941,0,17674,0,65535
0014-0001-0020,314.99,20.235,0,4106,0,65535
0014-0002-0037,379.516,0,0,0,0,65535
0014-0003-0173,417.934,7.372,0,2591,0,65535
0014-0004-0265,247.492,52.226,0,7412,0,65535
0014-0005-0295,336.003,75.358,0,6723,0,65535
0014-0006-0320,414.114,93.17,0,10580,0,65535
0014-0007-0325,294.401,781.4,0,20119,0,65535
0014-0008-0317,159.83,5.348,0,2625,0,65535
0014-0009-0478,635.71,3458.67,0,21221,0,65535
0014-0010-0474,455.716,2641.905,0,21117,0,65535
0014-0011-0483,196.762,25.616,0,4691,0,65535
0014-0012-0493,148.368,35.83,0,5483,0,65535
0014-0013-0531,236.242,50.693,0,7756,0,65535
0014-0014-0688,694.93,94.881,0,8927,0,65535
0014-0015-0714,363.597,142.111,0,11303,0,65535
0014-0016-0742,613.636,47.003,0,10408,0,65535
0014-0017-0793,145.821,293.313,0,15883,0,65535
0014-0018-0941,285.91,468.596,0,16434,0,65535
0015-0001-0066,308.622,2177.148,0,34134,0,65535
0015-0002-0179,244.096,0.283,0,180,0,65535
0015-0003-0288,237.728,1859.059,0,11957,0,65535
0015-0004-0315,455.079,0.989,0,387,0,65535
0015-0005-0340,375.907,0.199,0,352,0,65535
0015-0006-0372,354.257,0,0,0,0,65535
0015-0007-0416,627.432,0.003,0,8,0,65535
0015-0008-0407,215.229,1653.256,0,12302,0,65535
0015-0009-0410,239.638,0,0,0,0,65535
0015-0010-0426,389.492,0,0,0,0,65535
0015-0011-0482,455.079,132.379,0,3589,0,65535
0015-0012-0493,608.754,14.032,0,1558,0,65535
0015-0013-0498,333.881,619.265,0,10890,0,65535
0015-0014-0518,662.242,3498.729,0,12990,0,65535
0015-0015-0527,359.351,4.051,0,869,0,65535
0015-0016-0538,321.357,4.179,0,1213,0,65535
0015-0017-0574,622.55,0.195,0,180,0,65535
0015-0018-0574,154.099,0.485,0,352,0,65535
0015-0019-0608,246.218,586.278,0,6551,0,65535
0015-0020-0625,483.097,132.658,0,3624,0,65535
0015-0021-0614,238.577,0,0,0,0,65535
0015-0022-0653,412.84,0,0,0,0,65535
